team,normalized_score,raw_score,games_processed,wins,losses
Eastern Oregon,6.0,6.0,1,0,0
Ohio State,5.25,42.0,8,8,0
Indiana,4.888888888888889,44.0,9,9,0
Johns Hopkins University,4.875,39.0,8,8,0
North Dakota State,4.666666666666667,42.0,9,9,0
Montana,4.555555555555555,41.0,9,9,0
University of Mount Union,4.5,36.0,8,8,0
Harding University,4.222222222222222,38.0,9,9,0
North Central College,4.125,33.0,8,8,0
Wisconsin-River Falls,4.125,33.0,8,7,1
Texas A&M,4.125,33.0,8,8,0
West Florida,4.111111111111111,37.0,9,9,0
Lehigh,4.111111111111111,37.0,9,9,0
BYU,4.0,32.0,8,8,0
Georgia,4.0,32.0,8,7,1
Wartburg,4.0,36.0,9,9,0
Kutztown University,3.888888888888889,35.0,9,9,0
Alabama,3.75,30.0,8,7,1
Louisville,3.75,30.0,8,7,1
Central Washington,3.6666666666666665,33.0,9,8,1
Ashland,3.5555555555555554,32.0,9,8,1
North Texas,3.5555555555555554,32.0,9,8,1
Virginia,3.5555555555555554,32.0,9,8,1
Bethel (MN),3.5,28.0,8,8,0
Oklahoma,3.4444444444444446,31.0,9,7,2
Wingate,3.4444444444444446,31.0,9,7,2
Indianapolis,3.4444444444444446,31.0,9,8,1
Berry College,3.375,27.0,8,7,1
Salisbury,3.375,27.0,8,8,0
Findlay,3.3333333333333335,30.0,9,9,0
Ole Miss,3.3333333333333335,30.0,9,8,1
John Carroll University,3.25,26.0,8,7,1
Northwest Missouri St,3.2222222222222223,29.0,9,8,1
Texas Tech,3.2222222222222223,29.0,9,8,1
Augustana University (SD),3.2222222222222223,29.0,9,9,0
Johnson C Smith,3.2222222222222223,29.0,9,8,1
Cortland,3.125,25.0,8,7,1
Hardin-Simmons,3.125,25.0,8,8,0
Wisconsin-Platteville,3.125,25.0,8,6,2
Hope College,3.125,25.0,8,7,1
Eastern University,3.125,25.0,8,7,1
Ferris State,3.111111111111111,28.0,9,9,0
Utah,3.111111111111111,28.0,9,7,2
Georgia Tech,3.111111111111111,28.0,9,8,1
Wisconsin-Whitewater,3.0,24.0,8,6,2
Oregon,3.0,24.0,8,7,1
Washington,3.0,24.0,8,6,2
Valley City State,3.0,3.0,1,0,0
Wisconsin-Lacrosse,3.0,21.0,7,6,1
South Florida,3.0,24.0,8,6,2
Christopher Newport,3.0,24.0,8,8,0
Minnesota Duluth,3.0,27.0,9,8,1
Webber International,3.0,3.0,1,0,0
Coast Guard,3.0,24.0,8,7,1
Trinity University TX,3.0,24.0,8,7,1
Wabash College,3.0,24.0,8,7,1
Wayland Baptist,3.0,3.0,1,0,0
Endicott College,3.0,24.0,8,7,1
Harvard,3.0,21.0,7,7,0
Michigan,2.888888888888889,26.0,9,7,2
Newberry,2.888888888888889,26.0,9,8,1
Wheaton,2.875,23.0,8,6,2
Muhlenberg,2.875,23.0,8,6,2
Saint John's (MN),2.875,23.0,8,7,1
Miami,2.875,23.0,8,6,2
Grove City College,2.875,23.0,8,6,2
Concordia-Wisconsin,2.7777777777777777,25.0,9,8,1
Tennessee Tech,2.7777777777777777,25.0,9,9,0
Benedict College,2.7777777777777777,25.0,9,8,1
Albany State GA,2.7777777777777777,25.0,9,8,1
Alma,2.75,22.0,8,6,2
James Madison,2.75,22.0,8,7,1
Monmouth (IL),2.75,22.0,8,7,1
Arizona State,2.6666666666666665,24.0,9,6,3
Presbyterian,2.6666666666666665,24.0,9,8,1
Susquehanna,2.625,21.0,8,6,2
USC,2.625,21.0,8,6,2
Whitworth,2.625,21.0,8,6,2
Carson-Newman College,2.625,21.0,8,6,2
Memphis,2.5555555555555554,23.0,9,8,1
Vanderbilt,2.5555555555555554,23.0,9,7,2
Pittsburg St,2.5555555555555554,23.0,9,7,2
Montana State,2.5555555555555554,23.0,9,7,2
Notre Dame,2.5,20.0,8,6,2
Chapman,2.5,20.0,8,6,2
Tarleton State,2.5,25.0,10,9,1
Mercer,2.5,20.0,8,7,1
Washington & Jefferson,2.5,20.0,8,6,2
Central College,2.5,20.0,8,7,1
Franklin & Marshall,2.5,20.0,8,7,1
Delta State,2.4444444444444446,22.0,9,7,2
Western Colorado,2.4444444444444446,22.0,9,8,1
PennWest California,2.4444444444444446,22.0,9,6,3
Illinois,2.4444444444444446,22.0,9,6,3
Texas,2.4444444444444446,22.0,9,7,2
South Dakota State,2.4444444444444446,22.0,9,7,2
Monmouth,2.4444444444444446,22.0,9,8,1
CSU Pueblo,2.4444444444444446,22.0,9,8,1
Calvin University,2.375,19.0,8,6,2
Utica,2.375,19.0,8,6,2
Navy,2.375,19.0,8,7,1
Belhaven,2.375,19.0,8,6,2
San Diego State,2.375,19.0,8,7,1
Trinity (CT),2.375,19.0,8,7,1
Virginia Union,2.3333333333333335,21.0,9,8,1
Houston,2.3333333333333335,21.0,9,7,2
Rowan,2.2857142857142856,16.0,7,5,2
Dartmouth,2.2857142857142856,16.0,7,5,2
Indiana-Pennsylvania,2.25,18.0,8,6,2
Anna Maria College,2.25,18.0,8,6,2
Biddeford,2.25,18.0,8,7,1
Baldwin Wallace,2.25,18.0,8,7,1
Tulane,2.25,18.0,8,6,2
Redlands,2.25,18.0,8,6,2
LSU,2.25,18.0,8,5,3
Old Dominion,2.2222222222222223,20.0,9,6,3
Kentucky State,2.2222222222222223,20.0,9,7,2
Linfield College,2.142857142857143,15.0,7,5,2
Ohio Northern,2.125,17.0,8,6,2
Rensselaer,2.125,17.0,8,7,1
TCU,2.125,17.0,8,6,2
Southern Miss,2.125,17.0,8,6,2
Hampden-Sydney,2.125,17.0,8,7,1
Assumption,2.125,17.0,8,7,1
Emory & Henry College,2.111111111111111,19.0,9,6,3
UT Permian Basin,2.111111111111111,19.0,9,7,2
Pittsburgh,2.111111111111111,19.0,9,7,2
Upper Iowa University,2.111111111111111,19.0,9,7,2
Randolph-Macon,2.111111111111111,19.0,9,8,1
Cincinnati,2.111111111111111,19.0,9,7,2
UNC Pembroke,2.1,21.0,10,8,2
Augustana (IL),2.0,16.0,8,6,2
Minnesota State Mankato,2.0,18.0,9,7,2
Slippery Rock,2.0,16.0,8,6,2
Nebraska,2.0,18.0,9,6,3
Sacred Heart,2.0,18.0,9,6,3
Drake,2.0,16.0,8,6,2
Lagrange College,2.0,16.0,8,7,1
Kennesaw State,2.0,16.0,8,6,2
Lamar,2.0,18.0,9,7,2
Villanova,1.875,15.0,8,6,2
Depauw,1.875,15.0,8,7,1
Alabama State,1.875,15.0,8,6,2
Plymouth State,1.875,15.0,8,7,1
College Of New Jersey,1.875,15.0,8,6,2
Missouri,1.875,15.0,8,6,2
Carnegie Mellon,1.875,15.0,8,5,3
Pennsylvania,1.8571428571428572,13.0,7,5,2
Tennessee,1.7777777777777777,16.0,9,6,3
Northern State,1.7777777777777777,16.0,9,6,3
Boise State,1.7777777777777777,16.0,9,6,3
Jackson State,1.75,14.0,8,6,2
West Alabama,1.75,14.0,8,5,3
Wisconsin-Stout,1.75,14.0,8,5,3
California Lutheran University,1.75,14.0,8,6,2
Wake Forest,1.75,14.0,8,5,3
Maryville College (TN),1.75,14.0,8,7,1
Misericordia,1.75,14.0,8,6,2
Adrian,1.75,14.0,8,7,1
Duke,1.75,14.0,8,5,3
University Of Charleston (WV),1.6666666666666667,15.0,9,6,3
NC State,1.6666666666666667,15.0,9,5,4
Grambling,1.6666666666666667,15.0,9,6,3
Iowa State,1.6666666666666667,15.0,9,5,4
Southern Arkansas,1.6666666666666667,15.0,9,6,3
Minnesota,1.6666666666666667,15.0,9,6,3
Coe College,1.625,13.0,8,6,2
Carleton,1.625,13.0,8,6,2
Illinois College,1.625,13.0,8,6,2
Yale,1.5714285714285714,11.0,7,5,2
Truman State,1.5555555555555556,14.0,9,6,3
Michigan Tech,1.5555555555555556,14.0,9,7,2
Frostburg State,1.5555555555555556,14.0,9,7,2
Sioux Falls,1.5555555555555556,14.0,9,6,3
Stephen F. Austin,1.5555555555555556,14.0,9,7,2
Northwood (MI),1.5555555555555556,14.0,9,7,2
Ithaca College,1.5,12.0,8,6,2
Washington University (St. Louis),1.5,12.0,8,6,2
Springfield,1.5,12.0,8,6,2
East Carolina,1.5,12.0,8,5,3
Chicago,1.5,12.0,8,6,2
UC Davis,1.5,12.0,8,6,2
Iowa,1.5,12.0,8,6,2
SMU,1.4444444444444444,13.0,9,6,3
Arizona,1.375,11.0,8,5,3
Wesleyan University (CT),1.375,11.0,8,6,2
Curry College,1.375,11.0,8,7,1
UNLV,1.375,11.0,8,6,2
Louisiana Tech,1.375,11.0,8,5,3
Catawba,1.3333333333333333,12.0,9,6,3
Illinois State,1.3333333333333333,12.0,9,6,3
Gardner-Webb,1.3333333333333333,12.0,9,5,4
Merchant Marine Academy,1.2857142857142858,9.0,7,5,2
Brockport,1.25,10.0,8,6,2
Wisconsin-Oshkosh,1.25,10.0,8,4,4
Benedictine University,1.25,10.0,8,6,2
St. Norbert,1.25,10.0,8,5,3
Coastal Carolina,1.25,10.0,8,5,3
Western Kentucky,1.2222222222222223,11.0,9,7,2
Butler,1.2222222222222223,11.0,9,5,4
Fayetteville State,1.2222222222222223,11.0,9,5,4
Chadron St,1.2222222222222223,11.0,9,7,2
East Central (OK),1.2222222222222223,11.0,9,6,3
Heidelberg,1.125,9.0,8,5,3
Millsaps,1.125,9.0,8,5,3
Denison University,1.125,9.0,8,5,3
Centre College Kentucky,1.125,9.0,8,3,5
Hanover College,1.125,9.0,8,6,2
Colby College,1.125,9.0,8,5,3
Union (NY),1.125,9.0,8,6,2
Ohio,1.1111111111111112,10.0,9,6,3
Edinboro University,1.1111111111111112,10.0,9,5,4
Rhode Island,1.1111111111111112,10.0,9,7,2
Abilene Christian,1.1111111111111112,10.0,9,5,4
New Mexico,1.1111111111111112,10.0,9,6,3
