team,normalized_score,raw_score,games_processed,wins,losses
Ohio State,5.25,42.0,8,8,0
Indiana,4.888888888888889,44.0,9,9,0
Texas A&M,4.125,33.0,8,8,0
Georgia,4.0,32.0,8,7,1
BYU,4.0,32.0,8,8,0
Alabama,3.75,30.0,8,7,1
Louisville,3.75,30.0,8,7,1
North Texas,3.5555555555555554,32.0,9,8,1
Virginia,3.5555555555555554,32.0,9,8,1
Oklahoma,3.4444444444444446,31.0,9,7,2
Ole Miss,3.3333333333333335,30.0,9,8,1
Texas Tech,3.2222222222222223,29.0,9,8,1
Georgia Tech,3.111111111111111,28.0,9,8,1
Utah,3.111111111111111,28.0,9,7,2
Washington,3.0,24.0,8,6,2
South Florida,3.0,24.0,8,6,2
Oregon,3.0,24.0,8,7,1
Michigan,2.888888888888889,26.0,9,7,2
Miami,2.875,23.0,8,6,2
James Madison,2.75,22.0,8,7,1
Arizona State,2.6666666666666665,24.0,9,6,3
USC,2.625,21.0,8,6,2
Vanderbilt,2.5555555555555554,23.0,9,7,2
Memphis,2.5555555555555554,23.0,9,8,1
Notre Dame,2.5,20.0,8,6,2
Illinois,2.4444444444444446,22.0,9,6,3
Texas,2.4444444444444446,22.0,9,7,2
San Diego State,2.375,19.0,8,7,1
Navy,2.375,19.0,8,7,1
Houston,2.3333333333333335,21.0,9,7,2
LSU,2.25,18.0,8,5,3
Tulane,2.25,18.0,8,6,2
Old Dominion,2.2222222222222223,20.0,9,6,3
Southern Miss,2.125,17.0,8,6,2
TCU,2.125,17.0,8,6,2
Pittsburgh,2.111111111111111,19.0,9,7,2
Cincinnati,2.111111111111111,19.0,9,7,2
Nebraska,2.0,18.0,9,6,3
Kennesaw State,2.0,16.0,8,6,2
Missouri,1.875,15.0,8,6,2
Boise State,1.7777777777777777,16.0,9,6,3
Tennessee,1.7777777777777777,16.0,9,6,3
Duke,1.75,14.0,8,5,3
Wake Forest,1.75,14.0,8,5,3
Minnesota,1.6666666666666667,15.0,9,6,3
NC State,1.6666666666666667,15.0,9,5,4
Iowa State,1.6666666666666667,15.0,9,5,4
East Carolina,1.5,12.0,8,5,3
Iowa,1.5,12.0,8,6,2
SMU,1.4444444444444444,13.0,9,6,3
Louisiana Tech,1.375,11.0,8,5,3
Arizona,1.375,11.0,8,5,3
UNLV,1.375,11.0,8,6,2
Coastal Carolina,1.25,10.0,8,5,3
Western Kentucky,1.2222222222222223,11.0,9,7,2
New Mexico,1.1111111111111112,10.0,9,6,3
Ohio,1.1111111111111112,10.0,9,6,3
Missouri State,1.0,8.0,8,5,3
Mississippi State,1.0,9.0,9,5,4
Troy,1.0,9.0,9,6,3
Fresno State,0.8888888888888888,8.0,9,6,3
Florida,0.875,7.0,8,3,5
Northwestern,0.875,7.0,8,5,3
Kansas,0.7777777777777778,7.0,9,5,4
Florida State,0.75,6.0,8,4,4
UConn,0.6666666666666666,6.0,9,6,3
UTSA,0.625,5.0,8,4,4
California,0.5555555555555556,5.0,9,5,4
Kansas State,0.5555555555555556,5.0,9,4,5
Washington State,0.5555555555555556,5.0,9,4,5
Western Michigan,0.5555555555555556,5.0,9,5,4
Temple,0.4444444444444444,4.0,9,5,4
Baylor,0.4444444444444444,4.0,9,5,4
Army,0.375,3.0,8,4,4
Colorado,0.3333333333333333,3.0,9,3,6
Rutgers,0.3333333333333333,3.0,9,4,5
Rice,0.3333333333333333,3.0,9,4,5
UAB,0.25,2.0,8,3,5
Utah State,0.25,2.0,8,4,4
West Virginia,0.2222222222222222,2.0,9,3,6
Auburn,0.2222222222222222,2.0,9,4,5
Maryland,0.125,1.0,8,4,4
Delaware,0.125,1.0,8,4,4
Marshall,0.125,1.0,8,4,4
Liberty,0.125,1.0,8,4,4
Hawai'i,0.1111111111111111,1.0,9,6,3
Miami (OH),0.1111111111111111,1.0,9,5,4
South Carolina,0.1111111111111111,1.0,9,3,6
UCLA,0.0,0.0,8,3,5
Georgia Southern,-0.125,-1.0,8,3,5
Penn State,-0.125,-1.0,8,3,5
Arkansas State,-0.2222222222222222,-2.0,9,5,4
UCF,-0.25,-2.0,8,4,4
Jacksonville State,-0.25,-2.0,8,5,3
Florida International,-0.25,-2.0,8,3,5
Stanford,-0.3333333333333333,-3.0,9,3,6
Virginia Tech,-0.3333333333333333,-3.0,9,3,6
Central Michigan,-0.3333333333333333,-3.0,9,5,4
Toledo,-0.375,-3.0,8,4,4
App State,-0.375,-3.0,8,4,4
Kentucky,-0.375,-3.0,8,3,5
Florida Atlantic,-0.375,-3.0,8,3,5
Syracuse,-0.4444444444444444,-4.0,9,3,6
Michigan State,-0.4444444444444444,-4.0,9,3,6
Wisconsin,-0.5,-4.0,8,2,6
Bowling Green,-0.5555555555555556,-5.0,9,3,6
San José State,-0.625,-5.0,8,3,5
Wyoming,-0.6666666666666666,-6.0,9,4,5
Clemson,-0.75,-6.0,8,3,5
Texas State,-0.75,-6.0,8,3,5
Arkansas,-0.7777777777777778,-7.0,9,2,7
Buffalo,-0.7777777777777778,-7.0,9,5,4
North Carolina,-0.875,-7.0,8,3,5
UL Monroe,-0.8888888888888888,-8.0,9,3,6
Oregon State,-0.8888888888888888,-8.0,9,2,7
Akron,-1.1,-11.0,10,4,6
Kent State,-1.125,-9.0,8,3,5
Air Force,-1.125,-9.0,8,2,6
Louisiana,-1.2222222222222223,-11.0,9,3,6
Purdue,-1.2222222222222223,-11.0,9,2,7
Ball State,-1.25,-10.0,8,3,5
Tulsa,-1.25,-10.0,8,2,6
Colorado State,-1.375,-11.0,8,2,6
New Mexico State,-1.375,-11.0,8,3,5
Oklahoma State,-2.111111111111111,-19.0,9,1,8
UTEP,-2.125,-17.0,8,2,6
Charlotte,-2.125,-17.0,8,1,7
South Alabama,-2.2222222222222223,-20.0,9,2,7
Northern Illinois,-2.375,-19.0,8,2,6
Nevada,-2.375,-19.0,8,1,7
Georgia State,-2.625,-21.0,8,1,7
Eastern Michigan,-2.888888888888889,-26.0,9,2,7
Boston College,-3.111111111111111,-28.0,9,1,8
Middle Tennessee,-3.125,-25.0,8,1,7
Sam Houston,-3.25,-26.0,8,0,8
Massachusetts,-4.222222222222222,-38.0,9,0,9
