team,normalized_score,raw_score,fbs_games_processed,wins,losses,conference,mascot
Indiana,5.26,52.6,10,11,0,Big Ten,Hoosiers
Ohio State,5.220000000000001,52.2,10,11,0,Big Ten,Buckeyes
BYU,5.220000000000001,52.2,10,10,1,Big 12,Cougars
Texas A&M,4.92,49.2,10,11,0,SEC,Aggies
Georgia,4.5600000000000005,45.6,10,10,1,SEC,Bulldogs
Texas Tech,4.36,43.6,10,10,1,Big 12,Red Raiders
Oklahoma,4.34,43.4,10,9,2,SEC,Sooners
Oregon,4.32,43.2,10,10,1,Big Ten,Ducks
Alabama,4.279999999999999,42.8,10,9,2,SEC,Crimson Tide
Ole Miss,3.8,38.0,10,10,1,SEC,Rebels
Utah,3.54,35.4,10,9,2,Big 12,Utes
Michigan,3.4545454545454546,38.0,11,9,2,Big Ten,Wolverines
Notre Dame,3.3636363636363638,37.0,11,9,2,Independent,Fighting Irish
USC,3.1090909090909093,34.2,11,8,3,Big Ten,Trojans
Miami,3.08,30.8,10,9,2,ACC,Hurricanes
Virginia,3.06,30.6,10,9,2,ACC,Cavaliers
Vanderbilt,3.02,30.2,10,9,2,SEC,Commodores
Arizona State,2.8,28.0,10,8,3,Big 12,Sun Devils
Tulane,2.5636363636363635,28.2,11,9,2,AAC,Green Wave
Georgia Tech,2.5,25.0,10,9,2,ACC,Yellow Jackets
North Texas,2.4,24.0,10,10,1,AAC,Mean Green
Texas,2.290909090909091,25.2,11,8,3,SEC,Longhorns
Arizona,2.2199999999999998,22.2,10,8,3,Big 12,Wildcats
James Madison,2.18,21.8,10,10,1,Sun Belt,Dukes
SMU,2.12,21.2,10,8,3,ACC,Mustangs
Wake Forest,2.0,20.0,10,8,3,ACC,Demon Deacons
Illinois,1.98,19.8,10,7,4,Big Ten,Fighting Illini
Pittsburgh,1.92,19.2,10,8,3,ACC,Panthers
Iowa State,1.9,19.0,10,7,4,Big 12,Cyclones
LSU,1.8399999999999999,18.4,10,7,4,SEC,Tigers
TCU,1.8,18.0,10,7,4,Big 12,Horned Frogs
Navy,1.7999999999999998,16.2,9,8,2,AAC,Midshipmen
Tennessee,1.7200000000000002,17.200000000000003,10,8,3,SEC,Volunteers
Houston,1.72,17.2,10,8,3,Big 12,Cougars
Washington,1.6199999999999999,16.2,10,8,3,Big Ten,Huskies
Missouri,1.6,16.0,10,7,4,SEC,Tigers
Cincinnati,1.5399999999999998,15.399999999999999,10,7,4,Big 12,Bearcats
NC State,1.52,15.2,10,6,5,ACC,Wolfpack
Iowa,1.5,15.0,10,7,4,Big Ten,Hawkeyes
South Florida,1.4600000000000002,14.600000000000001,10,8,3,AAC,Bulls
Louisville,1.44,14.399999999999999,10,7,4,ACC,Cardinals
