team,conference,base_normalized,opponent_avg,final_score,raw_score,games_processed,wins,losses,rank
Ohio State,Big Ten,5.250000,1.339931,5.919965,42.000000,8,8,0,1
Indiana,Big Ten,4.888889,1.174383,5.476080,44.000000,9,9,0,2
Georgia,SEC,4.000000,1.006337,4.503168,32.000000,8,7,1,3
Texas A&M,SEC,4.125000,0.742274,4.496137,33.000000,8,8,0,4
BYU,Big 12,4.000000,0.697917,4.348958,32.000000,8,8,0,5
Alabama,SEC,3.750000,0.950000,4.225000,30.000000,8,7,1,6
Louisville,ACC,3.750000,0.709549,4.104774,30.000000,8,7,1,7
Oklahoma,SEC,3.444444,1.045679,3.967284,31.000000,9,7,2,8
Virginia,ACC,3.555556,0.716821,3.913966,32.000000,9,8,1,9
North Texas,AAC,3.555556,0.502006,3.806559,32.000000,9,8,1,10
Utah,Big 12,3.111111,1.341975,3.782099,28.000000,9,7,2,11
Ole Miss,SEC,3.333333,0.804090,3.735378,30.000000,9,8,1,12
Washington,Big Ten,3.000000,1.450781,3.725391,24.000000,8,6,2,13
Miami,ACC,2.875000,1.270833,3.510417,23.000000,8,6,2,14
South Florida,AAC,3.000000,0.992014,3.496007,24.000000,8,6,2,15
Texas Tech,Big 12,3.222222,0.433333,3.438889,29.000000,9,8,1,16
Arizona State,Big 12,2.666667,1.461574,3.397454,24.000000,9,6,3,17
Michigan,Big Ten,2.888889,0.998457,3.388117,26.000000,9,7,2,18
Georgia Tech,ACC,3.111111,0.520988,3.371605,28.000000,9,8,1,19
Oregon,Big Ten,3.000000,0.586806,3.293403,24.000000,8,7,1,20
Illinois,Big Ten,2.444444,1.647222,3.268056,22.000000,9,6,3,21
USC,Big Ten,2.625000,1.096441,3.173220,21.000000,8,6,2,22
Notre Dame,Independent,2.500000,0.855903,2.927951,20.000000,8,6,2,23
LSU,SEC,2.250000,1.271094,2.885547,18.000000,8,5,3,24
Vanderbilt,SEC,2.555556,0.637670,2.874390,23.000000,9,7,2,25
Texas,SEC,2.444444,0.694444,2.791667,22.000000,9,7,2,26
James Madison,Sun Belt,2.750000,0.055990,2.777995,22.000000,8,7,1,27
Houston,Big 12,2.333333,0.725000,2.695833,21.000000,9,7,2,28
Old Dominion,Sun Belt,2.222222,0.864738,2.654591,20.000000,9,6,3,29
Memphis,AAC,2.555556,-0.047531,2.531790,23.000000,9,8,1,30
Tulane,AAC,2.250000,0.514410,2.507205,18.000000,8,6,2,31
TCU,Big 12,2.125000,0.695833,2.472917,17.000000,8,6,2,32
Iowa State,Big 12,1.666667,1.470309,2.401821,15.000000,9,5,4,33
Nebraska,Big Ten,2.000000,0.693951,2.346975,18.000000,9,6,3,34
